country,Total Enemies,Unique Enemies
France,212,25
Russia,201,32
Turkey,178,35
China,159,35
Iraq,121,36
Bulgaria,120,12
United Kingdom,117,11
Italy,114,9
United States,112,20
Romania,93,12
Spain,91,19
Hungary,84,34
Japan,80,45
Iran,79,52
Finland,72,36
