country,enemies,continent,
France,212,Europe,
Russia,201,Europe,
Turkey,178,Asia,
China,159,Asia,
Iraq,121,Asia,
Bulgaria,120,Europe,
United Kingdom,117,Europe,
Italy,114,Europe,
United States,112,America,
Romania,93,Europe,
Spain,91,Europe,
Hungary,84,Europe,
Japan,80,Asia,
Iran,79,Asia,
Finland,72,Europe,
